allocator,qlike,mae_vol,rmse_vol,bias_pct,corr_pred_real,avg_enb
max_diversification,0.218615,0.001925,0.002741,-1.755078,0.293442,11.245976
minimum_variance,0.227101,0.001690,0.002390,-5.988747,0.190496,9.030822
hrp,0.421784,0.002232,0.003239,6.486076,0.153346,22.988193
risk_parity,0.499794,0.002487,0.003600,8.679459,0.165546,30.000000
inverse_variance,0.535630,0.002426,0.003522,9.675340,0.120310,25.050049
equal_weight,0.634301,0.003199,0.004617,13.390162,0.095861,23.473530
