allocator,qlike,mae_vol,rmse_vol,bias_pct,corr_pred_real,avg_enb
equal_weight,0.503886,0.003994,0.006161,6.916033,-0.036375,14.664212
max_diversification,0.558073,0.003220,0.004943,5.543595,-0.120981,6.195048
risk_parity,0.581705,0.003705,0.005677,7.341076,-0.111994,16.000000
inverse_variance,0.586109,0.003697,0.005742,6.706617,-0.122346,14.767858
hrp,0.619464,0.003608,0.005551,7.254611,-0.137914,14.374392
minimum_variance,0.639868,0.003247,0.005118,4.966615,-0.138940,5.183748
