estimator,qlike,mae_vol,rmse_vol,bias_pct,corr_pred_real,avg_enb,sample_avg_cond
rmt_rie,0.354777,0.002190,0.003251,-1.516953,0.168994,20.520885,241.305016
ledoit_wolf,0.388263,0.002189,0.003308,2.376257,0.139225,21.644388,241.305016
constant_corr,0.439505,0.002361,0.003362,8.178919,0.180409,20.077542,241.305016
rmt_hard,0.441166,0.002385,0.003393,7.627369,0.175426,20.001684,241.305016
rmt_soft,0.442927,0.002375,0.003383,8.525431,0.175329,20.180669,241.305016
sample,0.446482,0.002380,0.003378,8.476705,0.173253,19.955720,241.305016
factor_model,0.446975,0.002407,0.003385,1.900685,0.176200,19.705778,241.305016
