estimator,qlike,mae_vol,rmse_vol,bias_pct,corr_pred_real,avg_enb,sample_avg_cond
rmt_rie,0.437889,0.002195,0.003837,-3.470249,0.079928,10.648114,2921.482625
factor_model,0.464680,0.002262,0.003785,-2.408086,0.130070,10.116728,2921.482625
sample,0.513085,0.002306,0.003881,2.361568,0.081233,10.593960,2921.482625
rmt_hard,0.513155,0.002314,0.003911,2.209857,0.076225,10.558050,2921.482625
constant_corr,0.513284,0.002308,0.003881,2.350782,0.080459,10.613278,2921.482625
rmt_soft,0.513341,0.002307,0.003895,2.396357,0.077463,10.595001,2921.482625
ledoit_wolf,0.523765,0.002398,0.004001,3.094970,0.043332,10.883665,2921.482625
