allocator,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr
equal_weight,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.759854,1.413212
risk_parity,0.459473,0.456439,0.046558,0.114583,0.179150,0.261969,0.029402,16.000000,1.785470
inverse_variance,0.380084,0.376868,0.038633,0.120527,0.192229,0.202736,0.032883,14.197366,1.686508
max_diversification,0.373643,0.363292,0.030922,0.096812,0.162878,0.196033,0.084692,5.517596,2.040970
minimum_variance,0.336423,0.329808,0.029322,0.104824,0.174300,0.172603,0.059000,5.262028,1.875562
hrp,0.269460,0.261242,0.022063,0.104686,0.208109,0.111711,0.072181,9.205516,1.748742
