date,vol,enb,dr,weight_min,weight_max,weight_hhi,n_nonzero,no_trade,strategy
2022-09-15,0.011224,14.819787,1.359227,0.027163,0.122026,0.074265,16,0,sample+inverse_variance
2022-10-21,0.011442,14.926271,1.326990,0.027610,0.128596,0.075714,16,0,sample+inverse_variance
2022-11-21,0.011875,15.043140,1.308271,0.029033,0.130367,0.075203,16,0,sample+inverse_variance
2022-12-20,0.012093,15.146476,1.304176,0.029685,0.118230,0.072930,16,0,sample+inverse_variance
2023-01-19,0.012082,15.141823,1.304242,0.029908,0.116131,0.072806,16,0,sample+inverse_variance
2023-02-24,0.011953,15.122833,1.299537,0.030237,0.120198,0.073444,16,0,sample+inverse_variance
2023-03-27,0.011617,15.116074,1.304153,0.029314,0.119041,0.073384,16,0,sample+inverse_variance
2023-04-26,0.010446,14.762067,1.348590,0.027297,0.126364,0.077265,16,0,sample+inverse_variance
2023-05-30,0.009325,14.554474,1.407211,0.026809,0.136896,0.076712,16,0,sample+inverse_variance
2023-06-30,0.009080,14.546045,1.419127,0.027222,0.135448,0.076008,16,0,sample+inverse_variance
2023-07-31,0.008921,14.626998,1.421637,0.028513,0.133093,0.074506,16,0,sample+inverse_variance
2023-08-29,0.008867,14.750818,1.411417,0.028929,0.137263,0.074597,16,0,sample+inverse_variance
2023-09-27,0.008798,14.363365,1.366097,0.027806,0.134219,0.076977,16,0,sample+inverse_variance
2023-11-03,0.008363,14.413010,1.387118,0.028794,0.123523,0.074716,16,0,sample+inverse_variance
2023-12-04,0.007643,14.245616,1.403040,0.027491,0.126035,0.076537,16,0,sample+inverse_variance
2024-01-03,0.007602,14.324479,1.387979,0.024581,0.138727,0.078709,16,0,sample+inverse_variance
2024-02-01,0.008176,14.675705,1.355888,0.026240,0.125227,0.075349,16,0,sample+inverse_variance
2024-03-11,0.008788,14.838593,1.342528,0.026003,0.134324,0.077351,16,0,sample+inverse_variance
2024-04-11,0.008823,14.842900,1.347771,0.026047,0.138871,0.079015,16,0,sample+inverse_variance
2024-05-15,0.009074,14.952178,1.329963,0.025983,0.135310,0.078242,16,0,sample+inverse_variance
2024-06-14,0.008925,14.946489,1.325287,0.025980,0.135424,0.080064,16,0,sample+inverse_variance
2024-07-15,0.008926,14.873229,1.319789,0.025617,0.132787,0.080525,16,0,sample+inverse_variance
