date,vol,enb,dr,weight_min,weight_max,weight_hhi,n_nonzero,no_trade,strategy
2024-01-24,0.006703,13.592071,1.514946,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-02-23,0.006609,13.650028,1.515568,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-03-25,0.006255,14.048095,1.508004,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-04-24,0.006374,14.066231,1.485093,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-05-23,0.006269,14.266293,1.473851,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-06-25,0.006214,14.384538,1.469123,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-07-25,0.006277,14.362272,1.470828,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-08-23,0.006548,14.191837,1.466369,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-09-24,0.006480,14.048263,1.482503,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-10-23,0.006226,13.975838,1.495465,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-11-21,0.005935,13.789526,1.556523,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2024-12-23,0.006052,13.798486,1.538668,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-01-27,0.006145,13.829870,1.531771,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-02-26,0.005951,13.704524,1.567973,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-03-27,0.006317,13.450068,1.542310,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-04-28,0.008849,13.071673,1.352217,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-05-28,0.008935,12.950666,1.365459,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-06-27,0.008900,12.830635,1.368049,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-07-29,0.008828,12.805617,1.366371,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-08-27,0.008635,12.912012,1.370007,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-09-26,0.008508,12.962828,1.380405,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-10-27,0.008583,12.904642,1.384509,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2025-11-25,0.008622,12.965854,1.368331,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-06-21,0.002963,14.918536,2.080954,0.015678,0.443431,0.225904,16,0,sample+inverse_variance
2019-07-23,0.003191,14.905745,1.996318,0.016580,0.435861,0.218434,16,0,sample+inverse_variance
2019-08-21,0.003312,15.065446,2.035451,0.016924,0.429323,0.212626,16,0,sample+inverse_variance
2019-09-20,0.003493,14.899133,2.028523,0.017751,0.417613,0.202788,16,0,sample+inverse_variance
2019-10-21,0.003546,14.700865,2.027968,0.018899,0.397867,0.188104,16,0,sample+inverse_variance
2019-11-19,0.003720,14.364892,1.951269,0.021581,0.370154,0.167994,16,0,sample+inverse_variance
2019-12-19,0.003817,13.832386,1.911586,0.022951,0.328906,0.142006,16,0,sample+inverse_variance
2020-01-22,0.003519,13.618784,1.939272,0.023559,0.291322,0.121645,16,0,sample+inverse_variance
2020-02-21,0.003474,12.986890,1.972618,0.022564,0.287391,0.120121,16,0,sample+inverse_variance
2020-03-23,0.006032,13.450833,1.835217,0.015548,0.418523,0.206539,16,0,sample+inverse_variance
2020-04-22,0.006267,14.286124,1.854452,0.012454,0.486157,0.261552,16,0,sample+inverse_variance
2020-05-21,0.006300,14.355005,1.863909,0.011503,0.493638,0.268234,16,0,sample+inverse_variance
2020-06-22,0.006248,14.361353,1.886876,0.010815,0.502546,0.276584,16,0,sample+inverse_variance
2020-07-22,0.006065,14.307769,1.919767,0.010177,0.508700,0.283352,16,0,sample+inverse_variance
2020-08-20,0.006010,14.443880,1.916041,0.010046,0.525078,0.296842,16,0,sample+inverse_variance
2020-09-21,0.005838,14.607241,1.929410,0.009715,0.538497,0.310323,16,0,sample+inverse_variance
2020-10-20,0.005711,14.663275,1.940716,0.009317,0.550984,0.322882,16,0,sample+inverse_variance
2020-11-18,0.005654,14.731335,1.960976,0.008558,0.561771,0.333857,16,0,sample+inverse_variance
2020-12-18,0.005485,14.753241,1.987662,0.007997,0.574718,0.347305,16,0,sample+inverse_variance
2021-01-21,0.005441,14.790632,2.002814,0.007867,0.580068,0.352878,16,0,sample+inverse_variance
2021-02-22,0.005434,14.915197,1.989863,0.007705,0.586275,0.359589,16,0,sample+inverse_variance
2021-03-23,0.003831,11.902486,1.862502,0.005410,0.646407,0.429655,16,0,sample+inverse_variance
2021-04-22,0.003695,12.538675,1.826529,0.005917,0.568299,0.338977,16,0,sample+inverse_variance
2021-05-21,0.003700,12.196348,1.778511,0.006204,0.557152,0.327066,16,0,sample+inverse_variance
2021-06-22,0.003743,12.407579,1.749043,0.006699,0.524104,0.293242,16,0,sample+inverse_variance
2021-07-22,0.003912,12.986431,1.736296,0.007269,0.483113,0.255155,16,0,sample+inverse_variance
2021-08-20,0.003952,13.260651,1.739222,0.007311,0.465968,0.240092,16,0,sample+inverse_variance
2021-09-21,0.003969,13.349589,1.734656,0.007128,0.442807,0.221031,16,0,sample+inverse_variance
2021-10-20,0.004048,13.322764,1.726466,0.007477,0.416419,0.200539,16,0,sample+inverse_variance
2021-11-18,0.003931,13.502101,1.735141,0.009021,0.375679,0.172173,16,0,sample+inverse_variance
2021-12-20,0.004049,13.936475,1.777559,0.011161,0.362761,0.163464,16,0,sample+inverse_variance
2022-01-20,0.004248,14.110971,1.725047,0.011873,0.345420,0.152903,16,0,sample+inverse_variance
2022-02-18,0.004410,14.041790,1.729265,0.013330,0.330845,0.145528,16,0,sample+inverse_variance
2022-03-22,0.004570,13.992585,1.779838,0.015080,0.313669,0.135273,16,0,sample+inverse_variance
2022-04-21,0.004732,13.964093,1.782331,0.016090,0.292833,0.124982,16,0,sample+inverse_variance
2022-05-20,0.005262,14.282139,1.739270,0.016910,0.305481,0.131123,16,0,sample+inverse_variance
2022-06-22,0.005987,14.470407,1.631304,0.017448,0.295155,0.127118,16,0,sample+inverse_variance
2022-07-22,0.006265,14.474786,1.621006,0.017929,0.285406,0.122563,16,0,sample+inverse_variance
2022-08-22,0.006569,14.471879,1.591871,0.018129,0.268434,0.115886,16,0,sample+inverse_variance
2022-09-21,0.006889,14.582897,1.557250,0.019179,0.271521,0.117895,16,0,sample+inverse_variance
2022-10-20,0.007656,14.714486,1.488017,0.019314,0.259594,0.113480,16,0,sample+inverse_variance
2022-11-18,0.008270,14.699301,1.444312,0.020727,0.260585,0.113928,16,0,sample+inverse_variance
2022-12-20,0.008527,14.681570,1.411445,0.021312,0.255687,0.111681,16,0,sample+inverse_variance
2023-01-23,0.008744,14.765479,1.403930,0.022121,0.247949,0.108388,16,0,sample+inverse_variance
2023-02-22,0.008808,14.774226,1.389538,0.021624,0.245156,0.106946,16,0,sample+inverse_variance
2023-03-23,0.008810,14.869079,1.388254,0.021841,0.230805,0.102169,16,0,sample+inverse_variance
2023-04-24,0.008787,14.865779,1.382499,0.021585,0.232006,0.102201,16,0,sample+inverse_variance
2023-05-23,0.008475,14.736261,1.381236,0.022103,0.209335,0.095515,16,0,sample+inverse_variance
2023-06-23,0.007989,14.723434,1.408759,0.022547,0.203983,0.093429,16,0,sample+inverse_variance
2023-07-25,0.007837,14.807706,1.400662,0.023661,0.199130,0.092007,16,0,sample+inverse_variance
2023-08-23,0.007726,14.889291,1.399072,0.025062,0.199980,0.091620,16,0,sample+inverse_variance
2023-09-22,0.007418,14.807260,1.408442,0.025149,0.187995,0.089194,16,0,sample+inverse_variance
2023-10-23,0.006742,14.590109,1.467207,0.027326,0.179797,0.087292,16,0,sample+inverse_variance
2023-11-21,0.006209,14.391146,1.517492,0.025854,0.166328,0.084426,16,0,sample+inverse_variance
2023-12-21,0.005960,14.287931,1.548756,0.026331,0.160721,0.082828,16,0,sample+inverse_variance
2024-01-24,0.005619,14.230594,1.578899,0.026083,0.159962,0.083310,16,0,sample+inverse_variance
2024-02-23,0.005574,14.297044,1.581125,0.028030,0.155437,0.081938,16,0,sample+inverse_variance
2024-03-25,0.005337,14.476457,1.544490,0.028497,0.162507,0.082811,16,0,sample+inverse_variance
2024-04-24,0.005459,14.497172,1.521607,0.029271,0.163943,0.082634,16,0,sample+inverse_variance
2024-05-23,0.005408,14.528348,1.494535,0.028847,0.171088,0.083663,16,0,sample+inverse_variance
2024-06-25,0.005417,14.447413,1.476761,0.029272,0.168177,0.083171,16,0,sample+inverse_variance
2024-07-25,0.005451,14.378732,1.474735,0.027770,0.176909,0.085143,16,0,sample+inverse_variance
2024-08-23,0.005568,14.477361,1.487542,0.026322,0.189505,0.088038,16,0,sample+inverse_variance
2024-09-24,0.005426,14.512256,1.514947,0.025047,0.196311,0.090067,16,0,sample+inverse_variance
2024-10-23,0.005184,14.510790,1.530079,0.023458,0.203261,0.091530,16,0,sample+inverse_variance
2024-11-21,0.004873,14.483348,1.602227,0.022362,0.218641,0.095818,16,0,sample+inverse_variance
2024-12-23,0.004914,14.304233,1.579546,0.021505,0.227925,0.099745,16,0,sample+inverse_variance
2025-01-27,0.004984,14.279300,1.573940,0.021680,0.233182,0.101182,16,0,sample+inverse_variance
2025-02-26,0.004803,14.277560,1.617312,0.020310,0.242892,0.103368,16,0,sample+inverse_variance
2025-03-27,0.004951,14.336891,1.618515,0.019571,0.259671,0.109299,16,0,sample+inverse_variance
2025-04-28,0.005831,14.585559,1.526906,0.016421,0.338977,0.149671,16,0,sample+inverse_variance
2025-05-28,0.005892,14.547038,1.546227,0.016843,0.342725,0.151376,16,0,sample+inverse_variance
2025-06-27,0.005778,14.528056,1.563033,0.016916,0.346791,0.153881,16,0,sample+inverse_variance
2025-07-29,0.005671,14.544150,1.571382,0.017448,0.352397,0.157177,16,0,sample+inverse_variance
2025-08-27,0.005528,14.355862,1.565478,0.018399,0.365068,0.164878,16,0,sample+inverse_variance
2025-09-26,0.005536,14.313278,1.566808,0.019609,0.362250,0.162736,16,0,sample+inverse_variance
2025-10-27,0.005433,14.247347,1.578389,0.019114,0.379519,0.174260,16,0,sample+inverse_variance
2025-11-25,0.005375,14.123141,1.558860,0.018061,0.388719,0.180773,16,0,sample+inverse_variance
2019-06-21,0.002748,4.846905,2.303661,0.000013,0.249996,0.205916,16,0,sample+minimum_variance
2019-07-23,0.002990,5.008157,2.199815,0.000009,0.249998,0.202128,16,0,sample+minimum_variance
2019-08-21,0.003079,5.292473,2.280869,0.000008,0.249998,0.195472,16,0,sample+minimum_variance
2019-09-20,0.003183,5.150463,2.324303,0.000003,0.249999,0.197370,16,0,sample+minimum_variance
2019-10-21,0.003212,5.201724,2.309993,0.000009,0.249998,0.196163,16,0,sample+minimum_variance
2019-11-19,0.003261,5.048495,2.293918,0.000012,0.249998,0.199562,16,0,sample+minimum_variance
2019-12-19,0.003192,4.905598,2.354409,0.000010,0.249997,0.200920,16,0,sample+minimum_variance
2020-01-22,0.002982,5.809723,2.389431,0.000006,0.249999,0.177488,16,0,sample+minimum_variance
2020-02-21,0.002934,6.610795,2.451364,0.000054,0.249984,0.162162,16,0,sample+minimum_variance
2020-03-23,0.005280,4.761015,2.062075,0.000001,0.250000,0.204807,16,0,sample+minimum_variance
2020-04-22,0.006017,4.825716,1.993904,0.000000,0.250000,0.202486,16,0,sample+minimum_variance
2020-05-21,0.006141,4.914956,1.990468,0.000000,0.250000,0.199853,16,0,sample+minimum_variance
2020-06-22,0.006214,4.934325,1.988267,0.000001,0.249999,0.199429,16,0,sample+minimum_variance
2020-07-22,0.006079,4.804738,2.014514,0.000001,0.250000,0.202195,16,0,sample+minimum_variance
2020-08-20,0.006197,4.930938,1.999076,0.000001,0.250000,0.199886,16,0,sample+minimum_variance
2020-09-21,0.006148,4.700138,1.986243,0.000002,0.249999,0.205413,16,0,sample+minimum_variance
2020-10-20,0.006125,4.495389,1.982080,0.000002,0.249999,0.210426,16,0,sample+minimum_variance
2020-11-18,0.006241,4.417579,1.990308,0.000001,0.250000,0.211861,16,0,sample+minimum_variance
2020-12-18,0.006232,4.345211,1.999640,0.000001,0.249999,0.212654,16,0,sample+minimum_variance
2021-01-21,0.006262,4.394724,2.013166,0.000001,0.250000,0.210715,16,0,sample+minimum_variance
2021-02-22,0.006332,4.302189,1.999557,0.000002,0.249999,0.213018,16,0,sample+minimum_variance
2021-03-23,0.005100,3.882726,1.866698,0.000000,0.250000,0.218480,16,0,sample+minimum_variance
2021-04-22,0.004173,5.114375,1.991160,0.000004,0.249999,0.196661,16,0,sample+minimum_variance
2021-05-21,0.004073,5.595198,2.022232,0.000002,0.249999,0.188726,16,0,sample+minimum_variance
2021-06-22,0.003944,5.910316,2.001706,0.000002,0.249999,0.184441,16,0,sample+minimum_variance
2021-07-22,0.003893,5.246981,1.992444,0.000004,0.249998,0.195331,16,0,sample+minimum_variance
2021-08-20,0.003830,5.359614,2.016016,0.000003,0.249998,0.193487,16,0,sample+minimum_variance
2021-09-21,0.003812,5.221477,1.981005,0.000007,0.249997,0.196239,16,0,sample+minimum_variance
2021-10-20,0.003820,5.094972,1.995321,0.000007,0.249996,0.196194,16,0,sample+minimum_variance
2021-11-18,0.003622,5.535874,1.962324,0.000009,0.249996,0.183755,16,0,sample+minimum_variance
2021-12-20,0.003666,5.673779,2.039007,0.000020,0.249994,0.180539,16,0,sample+minimum_variance
2022-01-20,0.003861,5.982201,1.938293,0.000010,0.249996,0.173989,16,0,sample+minimum_variance
2022-02-18,0.003873,6.115189,1.951445,0.000002,0.249999,0.171797,16,0,sample+minimum_variance
2022-03-22,0.003939,6.446504,2.045469,0.000005,0.249997,0.165478,16,0,sample+minimum_variance
2022-04-21,0.003971,6.070889,2.036369,0.000013,0.249995,0.172916,16,0,sample+minimum_variance
2022-05-20,0.004399,5.498774,1.951966,0.000002,0.249999,0.186901,16,0,sample+minimum_variance
2022-06-22,0.004925,5.666987,1.805394,0.000006,0.249996,0.188789,16,0,sample+minimum_variance
2022-07-22,0.005120,5.474460,1.792910,0.000005,0.249996,0.193386,16,0,sample+minimum_variance
2022-08-22,0.005290,5.714630,1.760707,0.000002,0.249999,0.188702,16,0,sample+minimum_variance
2022-09-21,0.005534,5.789965,1.726829,0.000000,0.250000,0.187298,16,0,sample+minimum_variance
2022-10-20,0.006127,5.369381,1.585339,0.000001,0.250000,0.197209,16,0,sample+minimum_variance
2022-11-18,0.006569,5.045997,1.532190,0.000001,0.249999,0.205128,16,0,sample+minimum_variance
2022-12-20,0.006751,4.792508,1.485363,0.000001,0.249999,0.213190,16,0,sample+minimum_variance
2023-01-23,0.006825,4.921207,1.494266,0.000000,0.250000,0.209254,16,0,sample+minimum_variance
2023-02-22,0.006872,4.846251,1.486722,0.000001,0.249999,0.211228,16,0,sample+minimum_variance
2023-03-23,0.006885,4.818423,1.481512,0.000001,0.249999,0.211205,16,0,sample+minimum_variance
2023-04-24,0.006882,4.814543,1.478770,0.000001,0.249999,0.210835,16,0,sample+minimum_variance
2023-05-23,0.006588,4.790268,1.466981,0.000000,0.250000,0.212169,16,0,sample+minimum_variance
2023-06-23,0.006234,4.896938,1.510124,0.000000,0.250000,0.207121,16,0,sample+minimum_variance
2023-07-25,0.006120,4.688004,1.464397,0.000001,0.250000,0.214038,16,0,sample+minimum_variance
2023-08-23,0.006066,4.644303,1.446383,0.000001,0.249999,0.215891,16,0,sample+minimum_variance
2023-09-22,0.005811,4.339610,1.431787,0.000004,0.249998,0.228062,16,0,sample+minimum_variance
2023-10-23,0.005285,4.620658,1.531750,0.000002,0.249999,0.214935,16,0,sample+minimum_variance
2023-11-21,0.004753,4.759650,1.635230,0.000002,0.249998,0.210752,16,0,sample+minimum_variance
2023-12-21,0.004614,5.173776,1.699325,0.000003,0.249998,0.196447,16,0,sample+minimum_variance
2024-01-24,0.004371,5.336333,1.749775,0.000003,0.249997,0.192649,16,0,sample+minimum_variance
2024-02-23,0.004344,5.602461,1.758989,0.000001,0.249999,0.184719,16,0,sample+minimum_variance
2024-03-25,0.004234,5.537579,1.695196,0.000000,0.250000,0.186464,16,0,sample+minimum_variance
