allocator,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr
max_diversification,0.307448,0.301171,0.037712,0.164444,0.286475,0.135931,0.084877,4.713872,1.545892
minimum_variance,0.179984,0.172717,0.015293,0.144152,0.245115,0.066841,0.086816,5.183748,1.380712
risk_parity,0.150312,0.148072,0.011548,0.193173,0.330871,0.036233,0.035556,16.000000,1.366112
equal_weight,0.137308,0.135746,0.007833,0.219824,0.372817,0.021948,0.028134,14.664212,1.315629
inverse_variance,0.136722,0.134081,0.008951,0.190086,0.324553,0.029154,0.041343,14.767858,1.334316
hrp,0.130523,0.126300,0.007770,0.181088,0.314452,0.027193,0.063211,14.294835,1.346356
