cov_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr
factor_model,0.183401,0.179281,0.016208,0.180629,0.303598,0.061928,0.057126,11.447647,1.367840
rmt_hard,0.176982,0.172899,0.015434,0.182258,0.313339,0.054204,0.057321,11.565608,1.372720
rmt_soft,0.174794,0.170754,0.015130,0.182304,0.312912,0.053188,0.056838,11.619417,1.379371
sample,0.173388,0.169395,0.014853,0.182304,0.313676,0.052308,0.056153,11.598323,1.373595
constant_corr,0.173211,0.169213,0.014819,0.182319,0.313431,0.052221,0.056238,11.599092,1.373605
rmt_rie,0.167316,0.163228,0.013806,0.182600,0.315154,0.048235,0.057779,11.656155,1.399387
ledoit_wolf,0.166921,0.163000,0.013708,0.182481,0.314553,0.048099,0.055137,11.742369,1.404002
