strategy,cov_method,allocator,ann_return,ann_volatility,sharpe,sharpe_net,ann_return_net,sortino,max_drawdown,calmar,var_95,cvar_95,skew,excess_kurtosis,ulcer,avg_turnover,total_turnover,n_rebalances,avg_vol_exante,avg_enb,avg_dr,avg_weight_hhi,total_cost
rmt_hard+max_diversification,rmt_hard,max_diversification,0.032608,0.096889,0.381131,0.369473,0.031435,0.495035,0.160519,0.203143,0.037433,0.074946,-1.830384,8.235143,0.059001,0.095182,7.424163,78,0.005083,5.396956,1.992306,0.249878,0.007424
rmt_soft+equal_weight,rmt_soft,equal_weight,0.095048,0.167495,0.634706,0.633246,0.094778,0.835766,0.280438,0.338928,0.042936,0.124763,-2.469341,16.151447,0.067382,0.020799,1.622297,78,0.009396,12.755020,1.411335,0.062500,0.001622
rmt_soft+inverse_variance,rmt_soft,inverse_variance,0.036428,0.120013,0.361200,0.357915,0.036016,0.463867,0.193192,0.188559,0.041280,0.094110,-2.206055,12.772715,0.068409,0.033432,2.607719,78,0.005537,14.296103,1.688007,0.167569,0.002608
rmt_soft+minimum_variance,rmt_soft,minimum_variance,0.029622,0.105367,0.331070,0.324704,0.028922,0.444907,0.174027,0.170215,0.033779,0.077513,-1.450888,9.657047,0.066787,0.057170,4.459287,78,0.004863,5.245282,1.842690,0.195092,0.004459
rmt_soft+risk_parity,rmt_soft,risk_parity,0.046671,0.114562,0.457923,0.454899,0.046305,0.606294,0.178716,0.261148,0.041120,0.088045,-1.850217,9.937983,0.064277,0.029361,2.290162,78,0.005782,16.000000,1.764388,0.127109,0.002290
rmt_soft+hrp,rmt_soft,hrp,0.021525,0.104289,0.257787,0.249683,0.020658,0.336995,0.213509,0.100817,0.039145,0.079781,-1.704291,8.903579,0.088894,0.071286,5.560346,78,0.004840,9.144316,1.737238,0.226342,0.005560
rmt_soft+max_diversification,rmt_soft,max_diversification,0.032703,0.096753,0.382501,0.371160,0.031563,0.495768,0.163538,0.199969,0.037174,0.075515,-1.860384,8.331955,0.060774,0.092460,7.211853,78,0.005124,5.536094,1.992488,0.251651,0.007212
rmt_rie+equal_weight,rmt_rie,equal_weight,0.095048,0.167495,0.634706,0.633246,0.094778,0.835766,0.280438,0.338928,0.042936,0.124763,-2.469341,16.151447,0.067382,0.020799,1.622297,78,0.008829,12.756594,1.439244,0.062500,0.001622
rmt_rie+inverse_variance,rmt_rie,inverse_variance,0.036539,0.118651,0.364592,0.361297,0.036130,0.471157,0.188095,0.194256,0.041320,0.092720,-2.093810,12.069228,0.068518,0.033114,2.582862,78,0.005182,14.217968,1.714996,0.171205,0.002583
rmt_rie+minimum_variance,rmt_rie,minimum_variance,0.027200,0.105464,0.308419,0.301971,0.026493,0.414469,0.179499,0.151534,0.033984,0.077784,-1.386849,9.245200,0.070115,0.057859,4.512989,78,0.004612,5.416796,1.863382,0.190750,0.004513
rmt_rie+risk_parity,rmt_rie,risk_parity,0.046389,0.114998,0.454272,0.451257,0.046023,0.601522,0.180069,0.257617,0.041268,0.088486,-1.835048,9.877027,0.064933,0.029351,2.289339,78,0.005453,16.000000,1.790534,0.126221,0.002289
rmt_rie+hrp,rmt_rie,hrp,0.021467,0.103706,0.257987,0.249946,0.020614,0.338466,0.210205,0.102123,0.039432,0.079003,-1.636832,8.357514,0.086710,0.069747,5.440285,78,0.004544,9.073136,1.759708,0.230093,0.005440
rmt_rie+max_diversification,rmt_rie,max_diversification,0.033332,0.098866,0.382505,0.371661,0.032218,0.499913,0.168011,0.198391,0.037297,0.077484,-1.685875,7.502759,0.061540,0.090357,7.047847,78,0.004935,5.935737,2.008388,0.241845,0.007048
factor_model+equal_weight,factor_model,equal_weight,0.095048,0.167495,0.634706,0.633246,0.094778,0.835766,0.280438,0.338928,0.042936,0.124763,-2.469341,16.151447,0.067382,0.020799,1.622297,78,0.009472,12.737695,1.391222,0.062500,0.001622
factor_model+inverse_variance,factor_model,inverse_variance,0.036850,0.119183,0.366133,0.362866,0.036442,0.472084,0.190198,0.193743,0.041216,0.093271,-2.142730,12.375639,0.068182,0.033023,2.575761,78,0.005495,13.709883,1.700450,0.168792,0.002576
factor_model+minimum_variance,factor_model,minimum_variance,0.034913,0.100735,0.391896,0.384057,0.034085,0.546265,0.169284,0.206237,0.035283,0.071147,-1.022602,6.947331,0.064937,0.067090,5.233040,78,0.004603,4.983953,2.027620,0.197349,0.005233
factor_model+risk_parity,factor_model,risk_parity,0.041630,0.109548,0.428935,0.425542,0.041241,0.577124,0.180261,0.230946,0.040675,0.082160,-1.594044,8.562885,0.064700,0.031364,2.446407,78,0.005368,16.000000,1.889860,0.146013,0.002446
factor_model+hrp,factor_model,hrp,0.016800,0.101487,0.215847,0.207300,0.015916,0.286152,0.214881,0.078182,0.040622,0.075391,-1.391441,7.046742,0.093135,0.072787,5.677370,78,0.004628,8.627401,1.784311,0.255107,0.005677
factor_model+max_diversification,factor_model,max_diversification,0.023342,0.087640,0.307681,0.299775,0.022629,0.416859,0.155539,0.150072,0.037912,0.061053,-1.210689,5.314293,0.058348,0.058327,4.549514,78,0.004246,4.783840,2.310492,0.282747,0.004550
60_40,benchmark,benchmark,0.079040,0.119271,0.701178,0.701178,0.079040,0.971989,0.195235,0.404847,0.034982,0.081638,-1.707531,10.749159,0.067715,,,0,,,,,
