cov_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr
sample,1.039758,1.026319,0.121622,0.117033,0.117863,1.023083,0.118263,19.801001,2.097690
constant_corr,1.034184,1.020812,0.121641,0.117578,0.118563,1.013791,0.118711,19.933579,2.087806
ledoit_wolf,1.029353,1.017688,0.122534,0.118071,0.123128,0.979853,0.101853,21.608353,2.352035
rmt_soft,1.017372,1.004668,0.119171,0.116953,0.118068,0.994971,0.111657,20.110018,2.131668
rmt_hard,1.012955,0.999130,0.118027,0.116375,0.118546,0.982544,0.121009,19.894056,2.092015
rmt_rie,0.981134,0.968964,0.115628,0.117415,0.121440,0.932475,0.108040,20.395484,2.191678
factor_model,0.911415,0.899082,0.107330,0.117977,0.114569,0.915509,0.111199,19.577843,2.232931
