lambda_plus_mult,universe,estimator,allocator,window,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
1.100000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
1.100000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
1.100000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
1.100000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
1.100000,us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
1.100000,us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
1.100000,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755284,1.403560,30.446443
1.100000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.360078,0.356766,0.036008,0.120613,0.194769,0.187023,0.033905,14.272967,1.676620,10.522377
1.100000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.330985,0.324413,0.029093,0.106336,0.171429,0.173964,0.059572,5.149026,1.841087,5.445757
1.100000,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.458318,0.455289,0.046344,0.114539,0.178509,0.261669,0.029385,16.000000,1.757649,15.494027
1.100000,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.281117,0.272571,0.023211,0.105020,0.209700,0.115093,0.075610,9.237517,1.726983,3.604939
1.100000,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.387307,0.375707,0.031947,0.096501,0.156013,0.212223,0.094334,5.458602,1.991977,3.982713
1.100000,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755021,1.412346,30.446443
1.100000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.361343,0.358064,0.036046,0.120065,0.193334,0.188575,0.033405,14.294495,1.689116,10.719031
1.100000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.330787,0.324398,0.028910,0.105468,0.173606,0.170577,0.057432,5.243066,1.843040,5.648430
1.100000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457965,0.454940,0.046309,0.114558,0.178686,0.261213,0.029361,16.000000,1.765735,15.494727
1.100000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.259835,0.251879,0.020897,0.104332,0.213548,0.101848,0.069996,9.153536,1.737664,3.598499
1.100000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.382110,0.371029,0.031490,0.096534,0.161848,0.201427,0.090162,5.589697,1.992903,4.115140
1.150000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
1.150000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
1.150000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
1.150000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
1.150000,us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
