sigma_method,universe,estimator,allocator,window,frequency,cost_bps,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
mean_bulk,us_sector_etf,sample,max_diversification,252,monthly,10.000000,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
mean_bulk,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.446443
mean_bulk,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,10.000000,0.476187,0.473390,0.052943,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.547718
mean_bulk,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,10.000000,0.343222,0.337042,0.030295,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.069615
mean_bulk,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,10.000000,0.500901,0.498167,0.053234,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.048556
mean_bulk,us_sector_etf,ledoit_wolf,hrp,252,monthly,10.000000,0.357647,0.349794,0.032744,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.835919
mean_bulk,us_sector_etf,ledoit_wolf,max_diversification,252,monthly,10.000000,0.398655,0.390130,0.035693,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.181264
mean_bulk,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.757235,1.403354,30.446443
mean_bulk,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,0.362279,0.358957,0.036305,0.120710,0.194997,0.188331,0.033995,14.250905,1.675339,10.559189
mean_bulk,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,0.337022,0.330216,0.029664,0.105982,0.168449,0.180565,0.061207,5.099581,1.835775,5.395084
mean_bulk,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,0.459104,0.456072,0.046403,0.114435,0.178385,0.262181,0.029376,16.000000,1.757831,15.525547
mean_bulk,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,0.268740,0.260183,0.021952,0.105457,0.209567,0.109153,0.075426,9.262109,1.728039,3.449492
mean_bulk,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,0.368454,0.357737,0.030203,0.096638,0.157367,0.198743,0.087145,5.545919,1.992076,4.105056
mean_bulk,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755233,1.414764,30.446443
mean_bulk,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,0.361435,0.358148,0.036076,0.120154,0.193650,0.188430,0.033497,14.288970,1.691559,10.692091
mean_bulk,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,0.332540,0.326145,0.029104,0.105491,0.172606,0.172697,0.057451,5.238357,1.842643,5.676977
mean_bulk,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,0.457883,0.454861,0.046301,0.114563,0.178658,0.261209,0.029333,16.000000,1.768623,15.506818
mean_bulk,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,0.260750,0.252374,0.020981,0.104555,0.212482,0.102981,0.074079,9.153581,1.741221,3.406813
mean_bulk,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,0.371762,0.361129,0.030520,0.096569,0.161954,0.195014,0.086337,5.709933,1.993463,4.182790
mean_bulk,us_sector_etf,rmt_rie,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.446443
mean_bulk,us_sector_etf,rmt_rie,inverse_variance,252,monthly,10.000000,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
mean_bulk,us_sector_etf,rmt_rie,minimum_variance,252,monthly,10.000000,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
mean_bulk,us_sector_etf,rmt_rie,risk_parity,252,monthly,10.000000,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
mean_bulk,us_sector_etf,rmt_rie,hrp,252,monthly,10.000000,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
mean_bulk,us_sector_etf,rmt_rie,max_diversification,252,monthly,10.000000,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
max_eigen,us_sector_etf,sample,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
max_eigen,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
max_eigen,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
