window,universe,estimator,allocator,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
120,us_sector_etf,rmt_rie,max_diversification,monthly,10.000000,median_bulk,0.544652,0.523762,0.043999,0.090144,0.173216,0.265383,0.157714,6.010670,2.114556,3.320950
120,us_sector_etf,factor_model,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.517910,1.424813,36.393678
120,us_sector_etf,factor_model,inverse_variance,monthly,10.000000,median_bulk,0.473073,0.467777,0.044821,0.106409,0.179372,0.253175,0.047389,13.496563,1.748116,9.870999
120,us_sector_etf,factor_model,minimum_variance,monthly,10.000000,median_bulk,0.548107,0.533531,0.045662,0.091765,0.161148,0.291966,0.110806,5.239295,2.105556,4.815017
120,us_sector_etf,factor_model,risk_parity,monthly,10.000000,median_bulk,0.553135,0.547328,0.050911,0.100254,0.188980,0.272644,0.048853,16.000000,1.952141,11.203680
120,us_sector_etf,factor_model,hrp,monthly,10.000000,median_bulk,0.341537,0.330417,0.026637,0.092977,0.201731,0.137328,0.086893,8.552162,1.800606,3.802562
120,us_sector_etf,factor_model,max_diversification,monthly,10.000000,median_bulk,0.468010,0.452408,0.035179,0.084463,0.160021,0.228322,0.109421,4.880890,2.386528,4.134550
252,us_sector_etf,sample,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
252,us_sector_etf,sample,inverse_variance,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
252,us_sector_etf,sample,minimum_variance,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
252,us_sector_etf,sample,risk_parity,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
252,us_sector_etf,sample,hrp,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
