cost_bps,universe,estimator,allocator,window,frequency,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
0.000000,us_sector_etf,rmt_rie,max_diversification,252,monthly,median_bulk,0.382505,0.382505,0.033332,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.233258
0.000000,us_sector_etf,factor_model,equal_weight,252,monthly,median_bulk,0.634706,0.634706,0.095048,0.167495,0.280438,0.338928,0.020799,12.737695,1.391222,30.516663
0.000000,us_sector_etf,factor_model,inverse_variance,252,monthly,median_bulk,0.366133,0.366133,0.036850,0.119183,0.190198,0.193743,0.033023,13.709883,1.700450,11.087355
0.000000,us_sector_etf,factor_model,minimum_variance,252,monthly,median_bulk,0.391896,0.391896,0.034913,0.100735,0.169284,0.206237,0.067090,4.983953,2.027620,5.841329
0.000000,us_sector_etf,factor_model,risk_parity,252,monthly,median_bulk,0.428935,0.428935,0.041630,0.109548,0.180261,0.230946,0.031364,16.000000,1.889860,13.675958
0.000000,us_sector_etf,factor_model,hrp,252,monthly,median_bulk,0.215847,0.215847,0.016800,0.101487,0.214881,0.078182,0.072787,8.627401,1.784311,2.965469
0.000000,us_sector_etf,factor_model,max_diversification,252,monthly,median_bulk,0.307681,0.307681,0.023342,0.087640,0.155539,0.150072,0.058327,4.783840,2.310492,5.275095
5.000000,us_sector_etf,sample,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.481559
5.000000,us_sector_etf,sample,inverse_variance,252,monthly,median_bulk,0.366133,0.364500,0.036646,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,11.037892
5.000000,us_sector_etf,sample,minimum_variance,252,monthly,median_bulk,0.328913,0.325695,0.028993,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.644839
5.000000,us_sector_etf,sample,risk_parity,252,monthly,median_bulk,0.457905,0.456391,0.046483,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.528232
5.000000,us_sector_etf,sample,hrp,252,monthly,median_bulk,0.261403,0.257330,0.021435,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.623217
5.000000,us_sector_etf,sample,max_diversification,252,monthly,median_bulk,0.380793,0.375196,0.031771,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.125581
5.000000,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.481559
5.000000,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,median_bulk,0.476187,0.474788,0.053133,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.593652
5.000000,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,median_bulk,0.343222,0.340133,0.030635,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.125276
5.000000,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,median_bulk,0.500901,0.499534,0.053407,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.098086
5.000000,us_sector_etf,ledoit_wolf,hrp,252,monthly,median_bulk,0.357647,0.353721,0.033191,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.890208
5.000000,us_sector_etf,ledoit_wolf,max_diversification,252,monthly,median_bulk,0.398655,0.394394,0.036157,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.237887
5.000000,us_sector_etf,constant_corr,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.775402,1.406074,30.481559
5.000000,us_sector_etf,constant_corr,inverse_variance,252,monthly,median_bulk,0.366133,0.364500,0.036646,0.119183,0.190198,0.193743,0.033023,14.281139,1.676448,11.037892
5.000000,us_sector_etf,constant_corr,minimum_variance,252,monthly,median_bulk,0.326421,0.323215,0.028721,0.105139,0.174781,0.166339,0.057452,5.263357,1.830250,5.625816
5.000000,us_sector_etf,constant_corr,risk_parity,252,monthly,median_bulk,0.458295,0.456788,0.046665,0.114935,0.178790,0.262027,0.029344,16.000000,1.750906,15.566837
5.000000,us_sector_etf,constant_corr,hrp,252,monthly,median_bulk,0.257192,0.253197,0.021050,0.104380,0.215209,0.099794,0.069879,9.114945,1.724388,3.623379
5.000000,us_sector_etf,constant_corr,max_diversification,252,monthly,median_bulk,0.382239,0.376746,0.032261,0.097198,0.166116,0.197555,0.090276,5.422083,1.980820,4.173279
5.000000,us_sector_etf,rmt_hard,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.481559
5.000000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,median_bulk,0.360213,0.358546,0.036228,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.509089
5.000000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,median_bulk,0.325019,0.321711,0.028818,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.343821
5.000000,us_sector_etf,rmt_hard,risk_parity,252,monthly,median_bulk,0.458081,0.456566,0.046504,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.528220
5.000000,us_sector_etf,rmt_hard,hrp,252,monthly,median_bulk,0.278358,0.273937,0.023360,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.502398
5.000000,us_sector_etf,rmt_hard,max_diversification,252,monthly,median_bulk,0.381131,0.375303,0.032022,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,3.943024
5.000000,us_sector_etf,rmt_soft,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.755020,1.411335,30.481559
5.000000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,median_bulk,0.361200,0.359558,0.036222,0.120013,0.193192,0.188559,0.033432,14.296103,1.688007,10.754805
5.000000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,median_bulk,0.331070,0.327888,0.029272,0.105367,0.174027,0.170215,0.057170,5.245282,1.842690,5.735286
5.000000,us_sector_etf,rmt_soft,risk_parity,252,monthly,median_bulk,0.457923,0.456411,0.046488,0.114562,0.178716,0.261148,0.029361,16.000000,1.764388,15.544785
5.000000,us_sector_etf,rmt_soft,hrp,252,monthly,median_bulk,0.257787,0.253736,0.021091,0.104289,0.213509,0.100817,0.071286,9.144316,1.737238,3.559384
5.000000,us_sector_etf,rmt_soft,max_diversification,252,monthly,median_bulk,0.382501,0.376832,0.032133,0.096753,0.163538,0.199969,0.092460,5.536094,1.992488,4.075634
5.000000,us_sector_etf,rmt_rie,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.481559
5.000000,us_sector_etf,rmt_rie,inverse_variance,252,monthly,median_bulk,0.364592,0.362944,0.036334,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.960578
5.000000,us_sector_etf,rmt_rie,minimum_variance,252,monthly,median_bulk,0.308419,0.305196,0.026847,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.274838
5.000000,us_sector_etf,rmt_rie,risk_parity,252,monthly,median_bulk,0.454272,0.452765,0.046206,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.426135
5.000000,us_sector_etf,rmt_rie,hrp,252,monthly,median_bulk,0.257987,0.253967,0.021040,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.641244
5.000000,us_sector_etf,rmt_rie,max_diversification,252,monthly,median_bulk,0.382505,0.377084,0.032775,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.173268
5.000000,us_sector_etf,factor_model,equal_weight,252,monthly,median_bulk,0.634706,0.633976,0.094913,0.167495,0.280438,0.338928,0.020799,12.737695,1.391222,30.481559
5.000000,us_sector_etf,factor_model,inverse_variance,252,monthly,median_bulk,0.366133,0.364500,0.036646,0.119183,0.190198,0.193743,0.033023,13.709883,1.700450,11.037892
5.000000,us_sector_etf,factor_model,minimum_variance,252,monthly,median_bulk,0.391896,0.387978,0.034499,0.100735,0.169284,0.206237,0.067090,4.983953,2.027620,5.782922
5.000000,us_sector_etf,factor_model,risk_parity,252,monthly,median_bulk,0.428935,0.427239,0.041436,0.109548,0.180261,0.230946,0.031364,16.000000,1.889860,13.621872
5.000000,us_sector_etf,factor_model,hrp,252,monthly,median_bulk,0.215847,0.211574,0.016358,0.101487,0.214881,0.078182,0.072787,8.627401,1.784311,2.906769
5.000000,us_sector_etf,factor_model,max_diversification,252,monthly,median_bulk,0.307681,0.303729,0.022986,0.087640,0.155539,0.150072,0.058327,4.783840,2.310492,5.207335
10.000000,us_sector_etf,sample,equal_weight,252,monthly,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
10.000000,us_sector_etf,sample,inverse_variance,252,monthly,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
