sigma_method,ledoit_wolf,rmt_hard,rmt_rie,rmt_soft,sample
cdf_fit,0.04757549999999999,0.001754999999999951,-0.00448966666666667,-0.001587333333333385,0.0
max_eigen,0.04757549999999999,-0.1563201666666667,-0.00448966666666667,-0.056549666666666665,0.0
mean_bulk,0.04757549999999999,1.583333333332604e-05,-0.00448966666666667,-0.0017355000000000564,0.0
median_bulk,0.04757549999999999,0.001041166666666593,-0.00448966666666667,-0.0007848333333333457,0.0
