window,q,n_assets,n_windows,sigma_mean,sigma_std,sigma_last,lambda_minus_mean,lambda_minus_std,lambda_minus_last,lambda_plus_mean,lambda_plus_std,lambda_plus_last,n_signal_mean,n_signal_std,n_signal_last,signal_variance_share_mean,signal_variance_share_std,signal_variance_share_last,lambda_max_mean,lambda_max_std,lambda_max_last,mean_noise_ev_mean,mean_noise_ev_std,mean_noise_ev_last,effective_rank_mean,effective_rank_std,effective_rank_last
120,0.133333,16,60,0.427540,0.085928,0.565434,0.076597,0.028027,0.128857,0.354185,0.129595,0.595832,6.716667,0.761169,7.000000,0.911545,0.038457,0.866570,8.669229,1.506029,6.164849,0.149893,0.057407,0.237209,5.293457,1.254500,7.763076
252,0.063492,16,27,0.415929,0.083749,0.430016,0.100578,0.036982,0.103467,0.281750,0.103597,0.289843,7.703704,0.608581,7.000000,0.931513,0.029369,0.919261,8.931609,1.442399,8.603104,0.129951,0.049263,0.143536,5.136113,1.210501,5.389456
500,0.032000,16,12,0.401867,0.075874,0.485963,0.112444,0.040501,0.159226,0.231778,0.083483,0.328208,8.000000,0.426401,8.000000,0.940759,0.023415,0.920118,9.299712,1.319652,7.977940,0.117693,0.041839,0.159763,4.872351,1.105173,6.022354
756,0.021164,16,7,0.408677,0.064381,0.493635,0.124551,0.038429,0.177934,0.223808,0.069053,0.319732,8.000000,0.000000,8.000000,0.939782,0.016522,0.917120,9.242094,1.028052,7.882714,0.120437,0.033044,0.165759,4.913120,0.895045,6.175109
